Classificação,Subclassificação,Singularidade,Efeito,Requisitos,Descrição,Condição,Mãe,Ação,Corpo,Mente,Fôlego,Mana,Limite Especial,Tamanho e Peso,Limites 1ºs,Limites 2ºs,Limite -5,Deslocamentos,Deslocamentos -5,Sentidos,Atributos,Atributos -5,Aptidões,Aptidões -5,Testes 1ºs,Esp Armas Esp,Esp Corpoacorpo,Esp Magica,Esp Pontaria,Esp Arredores,Esp Compostura,Esp Raciocinio,Esp Reflexos,Testes 2ºs,Esp Acrobacia,Esp Atletismo,Esp Furtividade,Esp Prestidigitação,Artes Cênicas,Artes Musicais,Artes Literárias,Artes Visuais,Perícias,Estudos,Química,Medicina,Conversação,Enganação,Empatia,Intimidação,Lidar com Animais,Veículos,Armeiro,Tecnologia,Resistências,Resistências -5,Defesa de Crítico,Alvos,Dano Máximo,Penetração e AC,Dano,Dano -5,Cálculo Especial,0,Custo Real,Tipo,Complexa,Equipe,Melhoria,À ser calculado,Repetível,Peso,Tamanho,Corpo,Mente,Limite Especial,Fôlego,Mana,Todos,Terrestre,Aquático,Aéreo,Todos,Visão,Audição,Olfato,Carisma,Finesse,Força,Inteligência,Percepção,Vitalidade,Vontade,Especial,Arcana,Lethalis,Natura,Vox,Aptidão Especial,Armas Especiais,Corpo-a-corpo,Mágica,Pontaria,Atenção,Compostura,Raciocínio,Reflexos,Artilharia,Cerco,Explosivos,Briga,Contusão,Duelo,Haste,Lâminas,Arcana,Lethalis,Natura,Vox,Arqueria,Arremesso,Precisão,Arredores,Investigação,Rastreamento,Coragem,Determinação,Estratégia,Iniciativa,Lógica,Memória,Esquiva,Reação,Acrobacia,Atletismo,Furtividade,Prestidigitação,Artes Cênicas,Artes Musicais,Artes Literárias,Artes Visuais,Perícias,Conhecimentos,Química,Medicina,Conversação,Enganação,Empatia,Intimidação,Lidar c/ Animais,Veículos,Armeiro,Tecnologia,Equilíbrio,Escalada,Parkour,Peso,Vigor,Nado,Esconder-se,Silêncio,Caça,Agilidade,Escapismo,Furto,Truques,Arrombamento,Atuação,Personificar,Cantar,Compor,Dançar,Tocar Instrumento,Escrever,Interpretação Textual,Desenho e Pintura,Escultura,Fotografia,Matématica,Gestão,Linguística,Astronomia,História,Física,Biologia,Geografia,Utilitários,Explosivos,Cirurgia,Primeiros Socorros,Convencer,Seduzir,Entreter,Etiqueta,Blefar,Omitir,Fingir,Acalmar,Intenções,Ameaçar,Interrogar,Ofender,Adestramento,Montaria,Pilotar,Combate,Criação,Manutenção,Computação,Construção,Mecânica,Outros,Mental,Físico,Contundente,Cortante,Perfurante,Balístico,Esmagador,Explosivo,Ardente,Congelante,Elétrico,Corrosivo,Mágico,Tóxico,Defesa de Crítico,Alvos,Dano Máximo,Penetração,Acerto Crítico,Mental,Físico,Artilharia,Cerco,Explosivos,Briga,Contusão,Duelo,Haste,Lâminas,Arcana,Lethalis,Natura,Vox,Arqueria,Arremesso,Precisão
Desvantagens de Criação,Atributos,Antipático,Antipático: Antipático,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Carisma.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Desatento,Desatento: Desatento,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Percepção.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Desinteligente,Desinteligente: Desinteligente,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Inteligência.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Destoado,Destoado: Destoado,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Vontade.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Devagar,Devagar: Devagar,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Finesse.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Ectomorfo,Ectomorfo: Ectomorfo,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Força.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Atributos,Frágil,Frágil: Frágil,Criação de Personagem,Você recebe uma penalidade de -1 no seu modificador de Vitalidade.,,,,,,,,,0,0,0,0,0,0,,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-10,-10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,-1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Habilidades,Animal Assustado,Animal Assustado: Animal Assustado,Criação de Personagem,Você recebe uma penalidade de -2 em testes da habilidade Compostura (Coragem).,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-5,-5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Habilidades,Aparência Horripilante,Aparência Horripilante: Aparência Horripilante,Criação de Personagem,Você recebe uma penalidade -2 em testes de Conversação.,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-5,-5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desvantagens de Criação,Habilidades,Desastrado,Desastrado: Desastrado,Criação de Personagem,Você recebe uma penalidade de -2 em testes de Furtividade.,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-5,-5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
