Singularidades,,,,,Limite Primário,Limite Primário,Limite Secundário,Primário,Primário,Primário,X,X,X,Atributo,Atributo,Atributo,Atributo,Atributo,Atributo,Atributo,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Primário,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Resistência,Primário,Primário Esp,Primário Esp,Primário Esp,Primário Esp,Primário Esp,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Dano,Primário,Primário,Dano Máximo,Primário
Nome,Descrição 1,Descrição 2,Descrição 3,Custo,Corpo,Mente,Especial,Terrestre,Aquático,Aéreo,Visão,Audição,Olfato,Carisma,Finesse,Força,Inteligência,Percepção,Vitalidade,Vontade,Armas Especiais,Corpo-a-corpo,Mágica,Pontaria,Atenção,Compostura,Raciocínio,Reflexos,Acrobacia,Atletismo,Furtividade,Prestidigitação,Artes Cênicas,Artes Musicais,Artes Literárias,Artes Visuais,Perícias,Conhecimentos,Química,Medicina,Conversação,Enganação,Empatia,Intimidação,Lidar c/ Animais,Veículos,Armeiro,Tecnologia,Contundente,Cortante,Perfurante,Balístico,Esmagador,Explosivo,Ardente,Congelante,Elétrico,Corrosivo,Mágico,Tóxico,Defesa de Crítico,Teste,Briga,Contusão,Haste,Lâminas,Duelo,Contundente:,Cortante:,Perfurante:,Balístico:,Esmagador:,Explosivo:,Ardente:,Congelante:,Elétrico:,Corrosivo:,Mágico:,Tóxico:,Acerto Crítico:,Alvos:,Dano Máximo:,Penetração
Capacho,"Essa criatura só pode realizar uma ação curta por turno (e possivelmente duas ações menores), e não toma reações. Capachos são derrotados caso recebam a condição sentença de morte, não realizam ataques localizados e não causam acertos críticos ou danos monstruosos.",,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vassalo,"Essa criatura pode realizar duas ação curtas por turno (e possivelmente quatroações menores), e não toma reações. Vassalos são derrotados caso recebam a condição sentença de morte, podem realizar ataques localizados e podem causar acertos críticos ou danos monstruosos.",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chefe,"Essa criatura pode realizar duas ações curtas por turno, e pode tomar reações. Chefes não são derrotados caso recebam a condição sentença de morte, podem realizar ataques localizados e podem causar acertos críticos ou danos monstruosos.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persona,"Personas possuem uma cabeça, um tronco, dois braços e duas pernas.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criatura Bípede,"Uma criatura bípede possui uma cabeça, um tronco, dois braços e duas pernas.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criatura Quadrúpede,"Uma criatura quadrúpede possui uma cabeça, um tronco, e quatro pernas.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criatura Híbrida,"Uma criatura híbrida possui uma cabeça, um tronco, dois braços e quatro pernas.",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
