Classificação,Subclassificação,Singularidade,Efeito,Requisitos,Descrição,Condição,Mãe,Ação,Corpo,Mente,Fôlego,Mana,Limite Especial,Tamanho e Peso,Limites 1ºs,Limites 2ºs,Limite -5,Deslocamentos,Deslocamentos -5,Sentidos,Atributos,Atributos -5,Aptidões,Aptidões -5,Testes 1ºs,Esp Armas Esp,Esp Corpoacorpo,Esp Magica,Esp Pontaria,Esp Arredores,Esp Compostura,Esp Raciocinio,Esp Reflexos,Testes 2ºs,Esp Acrobacia,Esp Atletismo,Esp Furtividade,Esp Prestidigitação,Artes Cênicas,Artes Musicais,Artes Literárias,Artes Visuais,Perícias,Estudos,Química,Medicina,Conversação,Enganação,Empatia,Intimidação,Lidar com Animais,Veículos,Armeiro,Tecnologia,Resistências,Resistências -5,Defesa de Crítico,Alvos,Dano Máximo,Penetração e AC,Dano,Dano -5,Cálculo Especial,0,Custo Real,Tipo,Complexa,Equipe,Melhoria,À ser calculado,Repetível,Peso,Tamanho,Corpo,Mente,Limite Especial,Fôlego,Mana,Todos,Terrestre,Aquático,Aéreo,Todos,Visão,Audição,Olfato,Carisma,Finesse,Força,Inteligência,Percepção,Vitalidade,Vontade,Especial,Arcana,Lethalis,Natura,Vox,Aptidão Especial,Armas Especiais,Corpo-a-corpo,Mágica,Pontaria,Atenção,Compostura,Raciocínio,Reflexos,Artilharia,Cerco,Explosivos,Briga,Contusão,Duelo,Haste,Lâminas,Arcana,Lethalis,Natura,Vox,Arqueria,Arremesso,Precisão,Arredores,Investigação,Rastreamento,Coragem,Determinação,Estratégia,Iniciativa,Lógica,Memória,Esquiva,Reação,Acrobacia,Atletismo,Furtividade,Prestidigitação,Artes Cênicas,Artes Musicais,Artes Literárias,Artes Visuais,Perícias,Conhecimentos,Química,Medicina,Conversação,Enganação,Empatia,Intimidação,Lidar c/ Animais,Veículos,Armeiro,Tecnologia,Equilíbrio,Escalada,Parkour,Peso,Vigor,Nado,Esconder-se,Silêncio,Caça,Agilidade,Escapismo,Furto,Truques,Arrombamento,Atuação,Personificar,Cantar,Compor,Dançar,Tocar Instrumento,Escrever,Interpretação Textual,Desenho e Pintura,Escultura,Fotografia,Matématica,Gestão,Linguística,Astronomia,História,Física,Biologia,Geografia,Utilitários,Explosivos,Cirurgia,Primeiros Socorros,Convencer,Seduzir,Entreter,Etiqueta,Blefar,Omitir,Fingir,Acalmar,Intenções,Ameaçar,Interrogar,Ofender,Adestramento,Montaria,Pilotar,Combate,Criação,Manutenção,Computação,Construção,Mecânica,Outros,Mental,Físico,Contundente,Cortante,Perfurante,Balístico,Esmagador,Explosivo,Ardente,Congelante,Elétrico,Corrosivo,Mágico,Tóxico,Defesa de Crítico,Alvos,Dano Máximo,Penetração,Acerto Crítico,Mental,Físico,Artilharia,Cerco,Explosivos,Briga,Contusão,Duelo,Haste,Lâminas,Arcana,Lethalis,Natura,Vox,Arqueria,Arremesso,Precisão
Vantagens de Criação,Atributos,Ágil,Ágil: Ágil,Criação de Personagem; Não possuir Devagar,Você recebe um bônus de +1 no seu modificador de Finesse.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Determinado,Determinado: Determinado,Criação de Personagem; Não possuir Destoado,Você recebe um bônus de +1 no seu modificador de Vontade.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Extrovertido,Extrovertido: Extrovertido,Criação de Personagem; Não possuir Antipático,Você recebe um bônus de +1 no seu modificador de Carisma.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Facilidade em Aprender,Facilidade em Aprender: Facilidade em Aprender,Criação de Personagem; Não possuir Desinteligente,Você recebe um bônus de +1 no seu modificador de Inteligência.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Mesomorfo,Mesomorfo: Mesomorfo,Criação de Personagem; Não possuir Ectomorfo,Você recebe um bônus de +1 no seu modificador de Força.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Perspicácia,Perspicácia: Perspicácia,Criação de Personagem; Não possuir Desatento,Você recebe um bônus de +1 no seu modificador de Percepção.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Atributos,Robusto,Robusto: Robusto,Criação de Personagem; Não possuir Frágil,Você recebe um bônus de +1 no seu modificador de Vitalidade.,,,,,,,,,0,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Habilidades,Beleza Insuperável,Beleza Insuperável: Beleza Insuperável,Criação de Personagem,Você recebe um bônus de +2 em testes de Conversação.,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Habilidades,Aptidão Mágica,Aptidão Mágica: Aptidão Mágica,Criação de Personagem; Não possuir Inaptidão Mágica,Você recebe um incremento de +4 em Mana.,,,,,,,,,0,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,+4_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Habilidades,Durável,Durável: Durável,Criação de Personagem; Não possuir Saúde Fraca,Você recebe um incremento de +2 em Corpo.,,,,,,,,,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,+2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Habilidades,Inteligência Emocional,Inteligência Emocional: Inteligência Emocional,Criação de Personagem; Não possuir Mente Vulnerável,Você recebe um incremento de +2 em Mente.,,,,,,,,,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,+2_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Habilidades,Metabolismo Resistente,Metabolismo Resistente: Metabolismo Resistente,Criação de Personagem; Não possuir Imunidade Baixa,Você recebe um incremento de +4 em Fôlego.,,,,,,,,,0,0,5,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,5,5,Passiva,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,+4_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Genética,Humanoide Grande,Humanoide Grande: Humanoide Grande,Criação de Personagem; Não possuir Franzino,"Seu modificador de tamanho aumenta em +1. Esse modificador é aplicado no seu modificador de Força e como penalidade em seus testes de esquiva.
Você pode adquirir essa singularidade até duas vezes, e deve ajustar a sua altura de acordo com o seu novo modificador de tamanho.
Você não pode usar essa singularidade para exceder +2 de modificador de tamanho.",,,,,,,,,10,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,TRUE,,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vantagens de Criação,Genética,Humanoide Pesado,Humanoide Pesado: Humanoide Pesado,Criação de Personagem; Não possuir Franzino,"Seu modificador de peso aumenta em +1. Esse modificador é aplicado no seu modificador de Vitalidade e como penalidade em seus testes de esquiva.
Você pode adquirir essa singularidade até duas vezes, e deve ajustar o seu peso de acordo com o seu novo modificador de peso.
Você não pode usar essa singularidade para exceder +2 de modificador de peso.",,,,,,,,,10,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,10,10,Passiva,FALSE,FALSE,FALSE,FALSE,TRUE,+1_Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
